# MEAN_SAMPLE_SIZE = 54162
# TOTAL_GENES = 18644
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...9         SET      23     -0.05981   -0.0020995      0.17554      0.63334 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      74    -0.079692   -0.0050108     0.098636      0.79043 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33      0.10798    0.0045389      0.14274      0.22469 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58     -0.13114   -0.0073031      0.11956      0.86364 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29   -0.0085992  -0.00033889       0.1729      0.51983 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19    -0.025456  -0.00081225      0.19522      0.55187 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      38   -0.0012213  -5.5083e-05      0.14626      0.50333 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25    -0.045035    -0.001648      0.18392      0.59672 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13      -0.1632    -0.004308      0.25738      0.73698 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15    -0.071788   -0.0020355      0.25274      0.61181 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      38     -0.14727   -0.0066421      0.14703      0.84174 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16      -0.5302    -0.015526      0.19972      0.99603 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32      0.12226    0.0050609      0.16625      0.23106 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      31      0.15675    0.0063866      0.15579      0.15718 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17    -0.044822   -0.0013529      0.20015       0.5886 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15     0.042546    0.0012063      0.20554      0.41801 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24     -0.13601   -0.0048768      0.17742      0.77833 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16     -0.11556    -0.003384      0.23232      0.69055 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11      0.62138     0.015089      0.32531     0.028067 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      62     0.038246    0.0022019       0.1376      0.39053 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      39    0.0026213   0.00011977      0.16811      0.49378 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15    -0.099405   -0.0028185      0.19198      0.69769 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10      0.23278    0.0053899      0.25453      0.18021 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21     -0.14995   -0.0050298      0.18937      0.78577 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11    -0.028588  -0.00069423      0.22461      0.55064 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41    -0.086335   -0.0040443      0.12778      0.75037 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      70     -0.19524    -0.011941      0.13709      0.92279 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      70     -0.12387   -0.0075757       0.1374      0.81634 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      51      0.11176    0.0058374      0.14802      0.22511 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      22     -0.18351   -0.0063001      0.18355      0.84128 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      43     0.028219    0.0013537      0.13464        0.417 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      79     -0.13736   -0.0089226     0.086034      0.94481 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      55     0.011344   0.00061525      0.10915      0.45861 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27   0.00089069   3.3872e-05      0.15358      0.49769 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      30      0.12651     0.005071      0.16969      0.22798 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34    -0.068763   -0.0029338      0.14295      0.68475 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     119     0.038202    0.0030423     0.078516      0.31329 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      47     -0.12695   -0.0063659      0.12045      0.85404 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23    -0.057457   -0.0020169      0.18593      0.62135 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      66     -0.23264    -0.013817      0.10578      0.98606 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32    -0.063457   -0.0026268       0.1542      0.65966 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      40     -0.14482    -0.006701      0.12203      0.88233 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22     0.065075    0.0022341      0.19114      0.36676 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28     -0.28349    -0.010978      0.16347      0.95855 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13    -0.086454   -0.0022822      0.22693      0.64839 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     255     0.062887    0.0073043     0.056659      0.13353 Curated_gene_sets:kegg_mapk_signaling_pathway
