# MEAN_SAMPLE_SIZE = 24564
# TOTAL_GENES = 17778
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:winter_hyp...1         SET      46    -0.069981   -0.0035552      0.13638      0.69607 Curated_gene_sets:winter_hypoxia_dn
Curated_gene_sets:parent_mto...2         SET     497    -0.044385    -0.007317     0.039836      0.86739 Curated_gene_sets:parent_mtor_signaling_up
Curated_gene_sets:parent_mto...1         SET      39     -0.16361   -0.0076547      0.14494       0.8705 Curated_gene_sets:parent_mtor_signaling_dn
Curated_gene_sets:pyeon_hpv_...2         SET      81     -0.01592   -0.0010722     0.094444      0.56693 Curated_gene_sets:pyeon_hpv_positive_tumors_up
Curated_gene_sets:pyeon_hpv_...1         SET       8    0.0039413    8.359e-05      0.35705       0.4956 Curated_gene_sets:pyeon_hpv_positive_tumors_dn
Curated_gene_sets:nakamura_t...2         SET     253    -0.096951    -0.011483     0.058467      0.95135 Curated_gene_sets:nakamura_tumor_zone_peripheral_vs_central_up
Curated_gene_sets:nakamura_t...1         SET     538     0.035978    0.0061634     0.040628      0.18794 Curated_gene_sets:nakamura_tumor_zone_peripheral_vs_central_dn
Curated_gene_sets:piccaluga_...2         SET     197     0.038916    0.0040739     0.070107      0.28942 Curated_gene_sets:piccaluga_angioimmunoblastic_lymphoma_up
Curated_gene_sets:piccaluga_...1         SET     113   -0.0032081  -0.00025496     0.091875      0.51393 Curated_gene_sets:piccaluga_angioimmunoblastic_lymphoma_dn
Curated_gene_sets:lu_tumor_v...2         SET      25     -0.43133    -0.016164      0.19204      0.98764 Curated_gene_sets:lu_tumor_vasculature_up
Curated_gene_sets:lu_tumor_v...1         SET       7     -0.50196   -0.0099587      0.36255      0.91689 Curated_gene_sets:lu_tumor_vasculature_dn
Curated_gene_sets:korkola_em...3         SET      42    -0.020115  -0.00097657      0.16021      0.54996 Curated_gene_sets:korkola_embryonal_carcinoma_up
Curated_gene_sets:korkola_em...2         SET      12      0.31156    0.0080921      0.29123      0.14236 Curated_gene_sets:korkola_embryonal_carcinoma_dn
Curated_gene_sets:korkola_te...2         SET      17     -0.33179    -0.010255      0.23777      0.91855 Curated_gene_sets:korkola_teratoma_up
Curated_gene_sets:korkola_yo...2         SET      20     -0.21969   -0.0073645      0.21394      0.84775 Curated_gene_sets:korkola_yolk_sac_tumor_up
Curated_gene_sets:korkola_ch...3         SET       6     0.073944    0.0013582      0.35487      0.41747 Curated_gene_sets:korkola_choriocarcinoma_up
Curated_gene_sets:korkola_ch...2         SET      11      0.44499     0.011066      0.30181     0.070192 Curated_gene_sets:korkola_choriocarcinoma_dn
Curated_gene_sets:korkola_se...2         SET      43     -0.18728   -0.0091995      0.15936      0.88003 Curated_gene_sets:korkola_seminoma_up
Curated_gene_sets:korkola_se...1         SET      11       0.2718    0.0067591      0.30328      0.18507 Curated_gene_sets:korkola_seminoma_dn
Curated_gene_sets:watanabe_r...2         SET      99   -0.0076336  -0.00056807      0.08713      0.53491 Curated_gene_sets:watanabe_rectal_cancer_radiotherapy_responsive_up
Curated_gene_sets:watanabe_r...1         SET      83     0.035992    0.0024536      0.10372      0.36429 Curated_gene_sets:watanabe_rectal_cancer_radiotherapy_responsive_dn
Curated_gene_sets:hollmann_a...2         SET     184    -0.027612   -0.0027946     0.066962      0.65996 Curated_gene_sets:hollmann_apoptosis_via_cd40_up
Curated_gene_sets:hollmann_a...1         SET     233     0.019932    0.0022669     0.059608      0.36905 Curated_gene_sets:hollmann_apoptosis_via_cd40_dn
Curated_gene_sets:liu_prosta...2         SET      87     0.044029    0.0030726       0.1007      0.33098 Curated_gene_sets:liu_prostate_cancer_up
Curated_gene_sets:liu_prosta...1         SET     421     0.007345    0.0011169       0.0469      0.43778 Curated_gene_sets:liu_prostate_cancer_dn
Curated_gene_sets:liu_sox4_t...2         SET     127    -0.095925   -0.0080788     0.085983       0.8677 Curated_gene_sets:liu_sox4_targets_up
Curated_gene_sets:liu_sox4_t...1         SET     274   -0.0089101   -0.0010976     0.053987      0.56554 Curated_gene_sets:liu_sox4_targets_dn
Curated_gene_sets:onken_uvea...2         SET     720     0.042465    0.0083713     0.035882      0.11832 Curated_gene_sets:onken_uveal_melanoma_up
Curated_gene_sets:onken_uvea...1         SET     476      0.05453    0.0088026     0.042565      0.10009 Curated_gene_sets:onken_uveal_melanoma_dn
Curated_gene_sets:bertucci_m...2         SET     161     0.051467    0.0048757     0.072193      0.23796 Curated_gene_sets:bertucci_medullary_vs_ductal_breast_cancer_up
Curated_gene_sets:bertucci_m...1         SET     159     0.073573    0.0069269      0.07389       0.1597 Curated_gene_sets:bertucci_medullary_vs_ductal_breast_cancer_dn
Curated_gene_sets:schuetz_br...2         SET     313     0.094522     0.012431     0.055515     0.044326 Curated_gene_sets:schuetz_breast_cancer_ductal_invasive_up
Curated_gene_sets:schuetz_br...1         SET      79      0.16949     0.011273      0.11229     0.065611 Curated_gene_sets:schuetz_breast_cancer_ductal_invasive_dn
Curated_gene_sets:davicioni_...4         SET      50    -0.057643   -0.0030528      0.14457      0.65495 Curated_gene_sets:davicioni_pax_foxo1_signature_in_arms_up
Curated_gene_sets:davicioni_...3         SET      18      0.10832     0.003445      0.22915      0.31822 Curated_gene_sets:davicioni_pax_foxo1_signature_in_arms_dn
Curated_gene_sets:fournier_a...2         SET      19     -0.41759    -0.013645      0.22374        0.969 Curated_gene_sets:fournier_acinar_development_early_up
Curated_gene_sets:fournier_a...1         SET       6     -0.49768   -0.0091416      0.44272      0.86952 Curated_gene_sets:fournier_acinar_development_early_dn
Curated_gene_sets:fournier_a...5         SET      10      0.49699     0.011784      0.29864     0.048047 Curated_gene_sets:fournier_acinar_development_late_up
Curated_gene_sets:fournier_a...4         SET      19       0.2714    0.0088681      0.20467     0.092422 Curated_gene_sets:fournier_acinar_development_late_dn
Curated_gene_sets:nam_fxyd5_...          SET      16      0.17361    0.0052061      0.21421      0.20884 Curated_gene_sets:nam_fxyd5_targets_dn
Curated_gene_sets:frasor_tam...2         SET      46     0.030473    0.0015481      0.13951      0.41355 Curated_gene_sets:frasor_tamoxifen_response_up
Curated_gene_sets:frasor_tam...1         SET       8      0.52234     0.011078      0.32622     0.054679 Curated_gene_sets:frasor_tamoxifen_response_dn
Curated_gene_sets:kim_respon...2         SET     110      0.26066     0.020441     0.084215   0.00098513 Curated_gene_sets:kim_response_to_tsa_and_decitabine_up
Curated_gene_sets:kim_respon...1         SET       8      0.07376    0.0015644      0.30258      0.40371 Curated_gene_sets:kim_response_to_tsa_and_decitabine_dn
Curated_gene_sets:sengupta_n...2         SET     267    -0.014069   -0.0017112     0.058834      0.59449 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_up
Curated_gene_sets:sengupta_n...1         SET     316     0.024747    0.0032699     0.051656      0.31595 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_dn
Curated_gene_sets:watanabe_c...2         SET      28       0.2234    0.0088592      0.17577      0.10188 Curated_gene_sets:watanabe_colon_cancer_msi_vs_mss_up
Curated_gene_sets:watanabe_c...1         SET      53     -0.30386    -0.016567      0.13168      0.98948 Curated_gene_sets:watanabe_colon_cancer_msi_vs_mss_dn
Curated_gene_sets:kobayashi_...4         SET       6     -0.13722   -0.0025206       0.4264       0.6262 Curated_gene_sets:kobayashi_egfr_signaling_6hr_up
Curated_gene_sets:kobayashi_...3         SET      17     -0.27559   -0.0085183      0.23374       0.8808 Curated_gene_sets:kobayashi_egfr_signaling_6hr_dn
Curated_gene_sets:sotiriou_b...2         SET     128     0.016307    0.0013787     0.075772       0.4148 Curated_gene_sets:sotiriou_breast_cancer_grade_1_vs_3_up
Curated_gene_sets:sotiriou_b...1         SET      49     0.012785    0.0006703      0.12314      0.45865 Curated_gene_sets:sotiriou_breast_cancer_grade_1_vs_3_dn
Curated_gene_sets:gazda_diam...2         SET      22     0.065113    0.0022892      0.18736       0.3641 Curated_gene_sets:gazda_diamond_blackfan_anemia_erythroid_up
Curated_gene_sets:gazda_diam...1         SET     401     0.010895    0.0016178     0.043699      0.40156 Curated_gene_sets:gazda_diamond_blackfan_anemia_erythroid_dn
Curated_gene_sets:gazda_diam...4         SET      28     -0.20409   -0.0080934      0.15858      0.90095 Curated_gene_sets:gazda_diamond_blackfan_anemia_myeloid_up
Curated_gene_sets:gazda_diam...3         SET      36      0.02919    0.0013122      0.14977      0.42274 Curated_gene_sets:gazda_diamond_blackfan_anemia_myeloid_dn
Curated_gene_sets:gazda_diam...6         SET      38     -0.11266    -0.005203      0.15903      0.76065 Curated_gene_sets:gazda_diamond_blackfan_anemia_progenitor_up
Curated_gene_sets:gazda_diam...5         SET      51      0.06783    0.0036279      0.11959       0.2853 Curated_gene_sets:gazda_diamond_blackfan_anemia_progenitor_dn
Curated_gene_sets:chemnitz_r...2         SET     129     -0.11943    -0.010137     0.077532      0.93826 Curated_gene_sets:chemnitz_response_to_prostaglandin_e2_up
Curated_gene_sets:chemnitz_r...1         SET     345    -0.011054    -0.001525     0.050898      0.58597 Curated_gene_sets:chemnitz_response_to_prostaglandin_e2_dn
Curated_gene_sets:zerbini_re...2         SET       8     -0.32333   -0.0068574      0.35576      0.81828 Curated_gene_sets:zerbini_response_to_sulindac_up
Curated_gene_sets:zerbini_re...1         SET       5     -0.22572    -0.003785      0.34248      0.74507 Curated_gene_sets:zerbini_response_to_sulindac_dn
Curated_gene_sets:igarashi_a...2         SET       3      0.04605   0.00059817      0.70646      0.47401 Curated_gene_sets:igarashi_atf4_targets_up
Curated_gene_sets:igarashi_a...1         SET      88     0.041626    0.0029215     0.099685      0.33813 Curated_gene_sets:igarashi_atf4_targets_dn
Curated_gene_sets:zhong_resp...2         SET     146     0.012749    0.0011506     0.073807      0.43143 Curated_gene_sets:zhong_response_to_azacitidine_and_tsa_up
Curated_gene_sets:zhong_resp...1         SET      65      0.16218    0.0097885      0.10676     0.064375 Curated_gene_sets:zhong_response_to_azacitidine_and_tsa_dn
Curated_gene_sets:davicioni_...2         SET     293   -0.0070815  -0.00090162     0.056847      0.54957 Curated_gene_sets:davicioni_molecular_arms_vs_erms_up
Curated_gene_sets:davicioni_...1         SET     166     -0.13746    -0.013221     0.075233      0.96616 Curated_gene_sets:davicioni_molecular_arms_vs_erms_dn
Curated_gene_sets:davicioni_...8         SET     228     0.032788    0.0036894     0.065776      0.30908 Curated_gene_sets:davicioni_targets_of_pax_foxo1_fusions_up
Curated_gene_sets:davicioni_...7         SET      56       0.1507     0.008445      0.13192      0.12665 Curated_gene_sets:davicioni_targets_of_pax_foxo1_fusions_dn
Curated_gene_sets:davicioni_...6         SET      56   -0.0014454  -8.0999e-05      0.12744      0.50452 Curated_gene_sets:davicioni_rhabdomyosarcoma_pax_foxo1_fusion_up
Curated_gene_sets:davicioni_...5         SET      14     -0.18326   -0.0051409      0.28709      0.73837 Curated_gene_sets:davicioni_rhabdomyosarcoma_pax_foxo1_fusion_dn
Curated_gene_sets:sengupta_n...4         SET     359     0.013073    0.0018389     0.050752      0.39837 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_with_lmp1_up
Curated_gene_sets:sengupta_n...3         SET     146    -0.085982   -0.0077601     0.079017      0.86173 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_with_lmp1_dn
Curated_gene_sets:turashvili...12        SET      58     0.035264     0.002011      0.12576      0.38958 Curated_gene_sets:turashvili_breast_normal_ductal_vs_lobular_up
Curated_gene_sets:turashvili...11        SET       5      0.10338    0.0017335      0.54468      0.42474 Curated_gene_sets:turashvili_breast_normal_ductal_vs_lobular_dn
Curated_gene_sets:turashvili...4         SET      40     0.023074    0.0010933      0.14204      0.43548 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_ductal_normal_up
Curated_gene_sets:turashvili...3         SET     170   -0.0068189  -0.00066362     0.074497      0.53646 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_ductal_normal_dn
Curated_gene_sets:turashvili...6         SET      63    0.0071945   0.00042753      0.11572      0.47521 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_lobular_normal_up
Curated_gene_sets:turashvili...5         SET      60     -0.17494    -0.010146      0.12482      0.91946 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_lobular_normal_dn
Curated_gene_sets:turashvili...2         SET      19      0.22312    0.0072904      0.20495      0.13817 Curated_gene_sets:turashvili_breast_carcinoma_ductal_vs_lobular_up
Curated_gene_sets:turashvili...1         SET       4     -0.37223    -0.005583      0.38663      0.83216 Curated_gene_sets:turashvili_breast_carcinoma_ductal_vs_lobular_dn
Curated_gene_sets:turashvili...8         SET      59     0.055764    0.0032072      0.13253      0.33697 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_ductal_normal_up
Curated_gene_sets:turashvili...7         SET      82     0.070598    0.0047837      0.10651      0.25373 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_ductal_normal_dn
Curated_gene_sets:turashvili...10        SET      88      0.16348     0.011474      0.10539     0.060433 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_lobular_normal_up
Curated_gene_sets:turashvili...9         SET      65      0.18754     0.011319      0.11496      0.05141 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_lobular_normal_dn
Curated_gene_sets:chandran_m...3         SET      34     0.066563    0.0029082      0.13799      0.31477 Curated_gene_sets:chandran_metastasis_top50_up
Curated_gene_sets:chandran_m...2         SET      37     0.059057    0.0026915       0.1384       0.3348 Curated_gene_sets:chandran_metastasis_top50_dn
Curated_gene_sets:wilcox_res...2         SET     136      0.10219    0.0089041     0.078689     0.097033 Curated_gene_sets:wilcox_response_to_progesterone_up
Curated_gene_sets:wilcox_res...1         SET      54     -0.21415    -0.011785      0.12275      0.95946 Curated_gene_sets:wilcox_response_to_progesterone_dn
Curated_gene_sets:fulcher_in...2         SET     532      0.06486     0.011051     0.041798      0.06037 Curated_gene_sets:fulcher_inflammatory_response_lectin_vs_lps_up
Curated_gene_sets:fulcher_in...1         SET     401     0.028099    0.0041724     0.046107      0.27112 Curated_gene_sets:fulcher_inflammatory_response_lectin_vs_lps_dn
Curated_gene_sets:gary_cd5_t...2         SET     427     0.037265    0.0057057     0.044163       0.1994 Curated_gene_sets:gary_cd5_targets_up
Curated_gene_sets:gary_cd5_t...1         SET     383    -0.061306   -0.0089012     0.044336      0.91662 Curated_gene_sets:gary_cd5_targets_dn
Curated_gene_sets:zhou_infla...4         SET     376      0.05836    0.0083972     0.049591      0.11964 Curated_gene_sets:zhou_inflammatory_response_live_up
Curated_gene_sets:zhou_infla...3         SET     321    -0.024186   -0.0032206     0.050882      0.68273 Curated_gene_sets:zhou_inflammatory_response_live_dn
Curated_gene_sets:samols_tar...2         SET       8      0.23314    0.0049446       0.3348      0.24311 Curated_gene_sets:samols_targets_of_khsv_mirnas_up
Curated_gene_sets:samols_tar...1         SET      44     0.060577      0.00301      0.14616      0.33928 Curated_gene_sets:samols_targets_of_khsv_mirnas_dn
Curated_gene_sets:hooi_st7_t...2         SET      80     0.056222    0.0037631      0.10454      0.29535 Curated_gene_sets:hooi_st7_targets_up
Curated_gene_sets:hooi_st7_t...1         SET      99    -0.011965  -0.00089043     0.097903      0.54864 Curated_gene_sets:hooi_st7_targets_dn
Curated_gene_sets:pramoonjag...2         SET      45       0.0332    0.0016683      0.14391      0.40877 Curated_gene_sets:pramoonjago_sox4_targets_up
Curated_gene_sets:pramoonjag...1         SET      48     0.045411    0.0023565      0.12947      0.36289 Curated_gene_sets:pramoonjago_sox4_targets_dn
Curated_gene_sets:puiffe_inv...2         SET      62    0.0090279   0.00053222      0.11573      0.46891 Curated_gene_sets:puiffe_invasion_inhibited_by_ascites_up
Curated_gene_sets:puiffe_inv...1         SET     125     -0.06983   -0.0058349      0.08497      0.79441 Curated_gene_sets:puiffe_invasion_inhibited_by_ascites_dn
Curated_gene_sets:piepoli_lg...2         SET      11      0.37218    0.0092552      0.31541      0.11901 Curated_gene_sets:piepoli_lgi1_targets_up
Curated_gene_sets:piepoli_lg...1         SET      13    -0.080746   -0.0021828      0.22177      0.64211 Curated_gene_sets:piepoli_lgi1_targets_dn
Curated_gene_sets:thum_systo...2         SET     365     0.050402    0.0071476      0.04861      0.14991 Curated_gene_sets:thum_systolic_heart_failure_up
Curated_gene_sets:thum_systo...1         SET     174     0.038287    0.0037693     0.069597      0.29112 Curated_gene_sets:thum_systolic_heart_failure_dn
Curated_gene_sets:casorelli_...2         SET     139      -0.1234    -0.010869     0.083133      0.93113 Curated_gene_sets:casorelli_acute_promyelocytic_leukemia_up
Curated_gene_sets:casorelli_...1         SET     580     0.041304     0.007338     0.036581      0.12943 Curated_gene_sets:casorelli_acute_promyelocytic_leukemia_dn
Curated_gene_sets:corre_mult...2         SET      64    -0.032562   -0.0019503      0.12295      0.60443 Curated_gene_sets:corre_multiple_myeloma_up
Curated_gene_sets:corre_mult...1         SET      49    -0.087029   -0.0045628      0.14081      0.73173 Curated_gene_sets:corre_multiple_myeloma_dn
Curated_gene_sets:huttmann_b...2         SET     249     0.048889    0.0057454     0.056902      0.19513 Curated_gene_sets:huttmann_b_cll_poor_survival_up
Curated_gene_sets:huttmann_b...1         SET      53     0.054524    0.0029727      0.12624      0.33291 Curated_gene_sets:huttmann_b_cll_poor_survival_dn
Curated_gene_sets:diaz_chron...2         SET    1244   -0.0062737   -0.0016005     0.025897      0.59571 Curated_gene_sets:diaz_chronic_meylogenous_leukemia_up
Curated_gene_sets:diaz_chron...1         SET     100     0.013419    0.0010036      0.09379      0.44312 Curated_gene_sets:diaz_chronic_meylogenous_leukemia_dn
Curated_gene_sets:casorelli_...3         SET      35        -0.05   -0.0022164      0.16039      0.62238 Curated_gene_sets:casorelli_apl_secondary_vs_de_novo_up
Curated_gene_sets:deurig_t_c...2         SET     320     0.042761    0.0056853     0.050453      0.19835 Curated_gene_sets:deurig_t_cell_prolymphocytic_leukemia_up
Curated_gene_sets:deurig_t_c...1         SET     273     0.015232     0.001873     0.055204      0.39131 Curated_gene_sets:deurig_t_cell_prolymphocytic_leukemia_dn
Curated_gene_sets:liu_cmyb_t...2         SET     141     -0.14098    -0.012506     0.079914      0.96114 Curated_gene_sets:liu_cmyb_targets_up
Curated_gene_sets:liu_cmyb_t...1         SET       5     -0.75631    -0.012682      0.45841       0.9505 Curated_gene_sets:liu_cmyb_targets_dn
Curated_gene_sets:liu_vmyb_t...          SET     108     -0.19127    -0.014863     0.089536      0.98366 Curated_gene_sets:liu_vmyb_targets_up
Curated_gene_sets:liu_target...2         SET      13     -0.29672   -0.0080211      0.26267      0.87068 Curated_gene_sets:liu_targets_of_vmyb_vs_cmyb_up
Curated_gene_sets:liu_target...1         SET      38     0.045535     0.002103      0.15441      0.38404 Curated_gene_sets:liu_targets_of_vmyb_vs_cmyb_dn
Curated_gene_sets:charafe_br...4         SET     339     0.060975    0.0083395     0.049616      0.10956 Curated_gene_sets:charafe_breast_cancer_luminal_vs_basal_up
Curated_gene_sets:charafe_br...3         SET     406      0.10456     0.015621     0.048093      0.01485 Curated_gene_sets:charafe_breast_cancer_luminal_vs_basal_dn
Curated_gene_sets:charafe_br...6         SET     409     0.074043     0.011101     0.044916     0.049638 Curated_gene_sets:charafe_breast_cancer_luminal_vs_mesenchymal_up
Curated_gene_sets:charafe_br...5         SET     417     0.013538     0.002049     0.047931       0.3888 Curated_gene_sets:charafe_breast_cancer_luminal_vs_mesenchymal_dn
Curated_gene_sets:charafe_br...2         SET     111     0.080645    0.0063525     0.080127      0.15711 Curated_gene_sets:charafe_breast_cancer_basal_vs_mesenchymal_up
Curated_gene_sets:charafe_br...1         SET      45     -0.37135     -0.01866      0.14595      0.99452 Curated_gene_sets:charafe_breast_cancer_basal_vs_mesenchymal_dn
Curated_gene_sets:doane_brea...2         SET      61      0.10243    0.0059899        0.122      0.20057 Curated_gene_sets:doane_breast_cancer_classes_up
Curated_gene_sets:doane_brea...1         SET      31    -0.037481   -0.0015638       0.1735      0.58551 Curated_gene_sets:doane_breast_cancer_classes_dn
Curated_gene_sets:doane_resp...2         SET     158     0.087444    0.0082071     0.075238      0.12258 Curated_gene_sets:doane_response_to_androgen_up
Curated_gene_sets:doane_resp...1         SET     221    0.0080621    0.0008933     0.062645       0.4488 Curated_gene_sets:doane_response_to_androgen_dn
Curated_gene_sets:doane_brea...4         SET     102      0.23451     0.017712     0.096956    0.0077936 Curated_gene_sets:doane_breast_cancer_esr1_up
Curated_gene_sets:doane_brea...3         SET      42     -0.24096    -0.011699      0.14707      0.94932 Curated_gene_sets:doane_breast_cancer_esr1_dn
Curated_gene_sets:wang_respo...1         SET      25     -0.13377   -0.0050131        0.191      0.75815 Curated_gene_sets:wang_response_to_androgen_up
Curated_gene_sets:wang_respo...5         SET      19     -0.12944   -0.0042294      0.21608      0.72542 Curated_gene_sets:wang_response_to_forskolin_up
Curated_gene_sets:wang_respo...4         SET       9     0.021109   0.00047484      0.33988      0.47524 Curated_gene_sets:wang_response_to_forskolin_dn
Curated_gene_sets:timofeeva_...          SET      16     -0.17266   -0.0051776      0.21345       0.7907 Curated_gene_sets:timofeeva_growth_stress_via_stat1_dn
Curated_gene_sets:laiho_colo...2         SET     101      0.15784     0.011864     0.091766     0.042718 Curated_gene_sets:laiho_colorectal_cancer_serrated_up
Curated_gene_sets:laiho_colo...1         SET      62      0.10583    0.0062391      0.11207       0.1725 Curated_gene_sets:laiho_colorectal_cancer_serrated_dn
Curated_gene_sets:borczuk_ma...2         SET     262    -0.021581   -0.0026006     0.054963      0.65271 Curated_gene_sets:borczuk_malignant_mesothelioma_up
Curated_gene_sets:borczuk_ma...1         SET      89     0.093969    0.0066322     0.092977       0.1561 Curated_gene_sets:borczuk_malignant_mesothelioma_dn
Curated_gene_sets:roy_wound_...2         SET      43     0.051523    0.0025309      0.14314      0.35945 Curated_gene_sets:roy_wound_blood_vessel_up
Curated_gene_sets:roy_wound_...1         SET      20     0.060397    0.0020247      0.20027      0.38149 Curated_gene_sets:roy_wound_blood_vessel_dn
Curated_gene_sets:grabarczyk...2         SET      68      -0.2212    -0.013654      0.11218      0.97567 Curated_gene_sets:grabarczyk_bcl11b_targets_up
Curated_gene_sets:grabarczyk...1         SET      49    -0.035509   -0.0018617      0.13845      0.60121 Curated_gene_sets:grabarczyk_bcl11b_targets_dn
Curated_gene_sets:newman_erc...2         SET      25      0.14179    0.0053134      0.21096      0.25076 Curated_gene_sets:newman_ercc6_targets_up
Curated_gene_sets:newman_erc...1         SET      36     -0.32672    -0.014688      0.16605      0.97544 Curated_gene_sets:newman_ercc6_targets_dn
Curated_gene_sets:horiuchi_w...2         SET     264      0.11892     0.014384     0.059228     0.022337 Curated_gene_sets:horiuchi_wtap_targets_up
Curated_gene_sets:horiuchi_w...1         SET     277    -0.065819   -0.0081518     0.054212      0.88764 Curated_gene_sets:horiuchi_wtap_targets_dn
Curated_gene_sets:gal_leukem...2         SET     113    -0.066016   -0.0052465     0.087882      0.77372 Curated_gene_sets:gal_leukemic_stem_cell_up
Curated_gene_sets:gal_leukem...1         SET     214    -0.032282   -0.0035206     0.062958      0.69594 Curated_gene_sets:gal_leukemic_stem_cell_dn
Curated_gene_sets:choi_atl_c...          SET      16     -0.21374   -0.0064094        0.203       0.8538 Curated_gene_sets:choi_atl_chronic_vs_acute_dn
Curated_gene_sets:basaki_ybx...2         SET     258    -0.093295    -0.011157     0.055493      0.95363 Curated_gene_sets:basaki_ybx1_targets_up
Curated_gene_sets:basaki_ybx...1         SET     331     0.058961    0.0079701     0.052646      0.13138 Curated_gene_sets:basaki_ybx1_targets_dn
Curated_gene_sets:nojima_sfr...2         SET      28    -0.024305  -0.00096386       0.1803      0.55362 Curated_gene_sets:nojima_sfrp2_targets_up
Curated_gene_sets:nojima_sfr...1         SET      23      -0.3712    -0.013343      0.20255      0.96656 Curated_gene_sets:nojima_sfrp2_targets_dn
Curated_gene_sets:wikman_asb...2         SET      10  -0.00047602  -1.1287e-05      0.27746      0.50068 Curated_gene_sets:wikman_asbestos_lung_cancer_up
Curated_gene_sets:wikman_asb...1         SET      26     -0.17041   -0.0065124      0.17907      0.82936 Curated_gene_sets:wikman_asbestos_lung_cancer_dn
Curated_gene_sets:rodrigues_...2         SET       4      -1.1523    -0.017283      0.53651      0.98413 Curated_gene_sets:rodrigues_dcc_targets_up
Curated_gene_sets:rodrigues_...1         SET     106     0.043675    0.0033624     0.090836      0.31533 Curated_gene_sets:rodrigues_dcc_targets_dn
Curated_gene_sets:rodrigues_...5         SET      14     -0.15348   -0.0043055      0.27761      0.70982 Curated_gene_sets:rodrigues_ntn1_targets_up
Curated_gene_sets:rodrigues_...4         SET     145      0.17409     0.015659     0.079078     0.013856 Curated_gene_sets:rodrigues_ntn1_targets_dn
Curated_gene_sets:wang_lmo4_...2         SET     306     0.015011    0.0019524     0.051674      0.38572 Curated_gene_sets:wang_lmo4_targets_up
Curated_gene_sets:wang_lmo4_...1         SET     311    -0.037292   -0.0048892     0.050531      0.76974 Curated_gene_sets:wang_lmo4_targets_dn
Curated_gene_sets:wang_clim2...2         SET     204    -0.059026   -0.0062867     0.063422      0.82398 Curated_gene_sets:wang_clim2_targets_up
Curated_gene_sets:wang_clim2...1         SET     156     0.017458    0.0016283     0.071594      0.40367 Curated_gene_sets:wang_clim2_targets_dn
Curated_gene_sets:vecchi_gas...2         SET     158     0.057686    0.0054141     0.077845      0.22934 Curated_gene_sets:vecchi_gastric_cancer_advanced_vs_early_up
Curated_gene_sets:vecchi_gas...1         SET     126     0.045934    0.0038534     0.079347      0.28133 Curated_gene_sets:vecchi_gastric_cancer_advanced_vs_early_dn
Curated_gene_sets:vecchi_gas...4         SET     359     -0.01156   -0.0016261      0.04903      0.59319 Curated_gene_sets:vecchi_gastric_cancer_early_up
Curated_gene_sets:vecchi_gas...3         SET     303    -0.049954    -0.006466     0.057518      0.80743 Curated_gene_sets:vecchi_gastric_cancer_early_dn
Curated_gene_sets:barrier_co...2         SET      34     0.038696    0.0016907      0.15583      0.40194 Curated_gene_sets:barrier_colon_cancer_recurrence_up
Curated_gene_sets:barrier_co...1         SET      14     0.077203    0.0021657      0.24326      0.37549 Curated_gene_sets:barrier_colon_cancer_recurrence_dn
Curated_gene_sets:smirnov_ci...2         SET     141     0.096543    0.0085639     0.081405      0.11783 Curated_gene_sets:smirnov_circulating_endotheliocytes_in_cancer_up
Curated_gene_sets:smirnov_ci...1         SET       5      0.33952    0.0056933      0.37658      0.18364 Curated_gene_sets:smirnov_circulating_endotheliocytes_in_cancer_dn
Curated_gene_sets:slebos_hea...          SET      69    -0.075168   -0.0046739      0.10411      0.76484 Curated_gene_sets:slebos_head_and_neck_cancer_with_hpv_up
Curated_gene_sets:jaeger_met...2         SET      35     0.062775    0.0027827      0.15047      0.33827 Curated_gene_sets:jaeger_metastasis_up
Curated_gene_sets:jaeger_met...1         SET     229     0.047394    0.0053444     0.062375      0.22368 Curated_gene_sets:jaeger_metastasis_dn
Curated_gene_sets:osman_blad...2         SET     360     0.038669    0.0054469      0.04932      0.21651 Curated_gene_sets:osman_bladder_cancer_up
Curated_gene_sets:osman_blad...1         SET     352    -0.042843   -0.0059687     0.046916      0.81942 Curated_gene_sets:osman_bladder_cancer_dn
Curated_gene_sets:ginestier_...4         SET      62      0.10818    0.0063778      0.11649      0.17653 Curated_gene_sets:ginestier_breast_cancer_znf217_amplified_up
Curated_gene_sets:ginestier_...3         SET     297     0.050479    0.0064699     0.050115      0.15692 Curated_gene_sets:ginestier_breast_cancer_znf217_amplified_dn
