# MEAN_SAMPLE_SIZE = 24564
# TOTAL_GENES = 17778
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...9         SET      22    -0.051952   -0.0018265      0.17967      0.61377 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      70     -0.15963   -0.0099969      0.10744      0.93132 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      32     -0.07679    -0.003255      0.16023      0.68411 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      48     -0.13581   -0.0070476      0.14065      0.83288 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      23     -0.10365   -0.0037259      0.19707      0.70054 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      18     -0.20542   -0.0065331      0.21817      0.82678 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      35      0.19315    0.0085621      0.15947      0.11292 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25     -0.50162    -0.018798        0.188      0.99618 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13       -0.358   -0.0096777      0.25396      0.92068 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15    -0.065117   -0.0018907      0.24808      0.60353 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      36     -0.13818   -0.0062117      0.14683      0.82666 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      15     -0.36499    -0.010598      0.22501       0.9476 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      29     -0.10545   -0.0042556      0.16634      0.73694 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      30     -0.15849   -0.0065053      0.15389      0.84847 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17       0.0303   0.00093654      0.23201      0.44805 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15      0.11882    0.0034502      0.22814      0.30124 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      23     0.021391   0.00076894      0.18766      0.45462 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      14      0.21174    0.0059396      0.22544      0.17382 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11    -0.030573  -0.00076027      0.27846      0.54371 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      56    -0.061316    -0.003436       0.1561      0.65276 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      38     -0.18046   -0.0083344      0.17403      0.85011 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      12     -0.31005   -0.0080529      0.23022      0.91096 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET       9     -0.31318   -0.0070449      0.23861      0.90531 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      20     -0.31637    -0.010605       0.2091      0.93485 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11     -0.25042   -0.0062273      0.26797      0.82498 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      40     -0.14007   -0.0066367      0.13863      0.84383 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      59     -0.14852    -0.008542      0.15422      0.83222 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      63    -0.091481   -0.0054363      0.14907      0.73029 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      49     -0.17782   -0.0093228      0.15209      0.87883 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      20    -0.035901   -0.0012035      0.19505      0.57302 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      42     -0.10392    -0.005045      0.15345      0.75085 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      79     -0.12666   -0.0084246     0.095726       0.9071 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      55     0.013288   0.00073795      0.11727      0.45489 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      26     -0.11188   -0.0042754      0.15648      0.76267 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      29     -0.17365   -0.0070081      0.14285      0.88794 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      32      0.13444    0.0056989       0.1403      0.16898 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     113    0.0032313   0.00025681     0.075447      0.48292 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      45    -0.065854   -0.0033091      0.12826      0.69618 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      22     -0.16425   -0.0057745      0.19719      0.79756 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      62    -0.062856   -0.0037056      0.11404      0.70923 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      30      0.02382    0.0009777       0.1514      0.43749 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      39      0.10948    0.0051221      0.14012      0.21732 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      21      0.36824     0.012649      0.20175     0.033991 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28       0.2553     0.010124      0.15479     0.049548 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      10    -0.057782   -0.0013701      0.27135      0.58431 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     242     -0.11318    -0.013115     0.061406      0.96734 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      80     -0.18134    -0.012137      0.11046      0.94966 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     151     0.072626    0.0066649     0.079292      0.17986 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     241     0.043371    0.0050155     0.068732      0.26402 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     174    -0.023424   -0.0023061     0.074788      0.62294 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      66     -0.19564    -0.011898      0.11492      0.95564 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     237     -0.10757    -0.012337     0.067228       0.9452 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     113    -0.047017   -0.0037367     0.083409      0.71352 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET      97     0.048063    0.0035406     0.089654      0.29595 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      64    -0.067052    -0.004016      0.11341      0.72282 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     119      0.17223     0.014044     0.076801     0.012471 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      33     -0.15848   -0.0068218      0.14824      0.85748 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      33      0.25972      0.01118      0.17535     0.069295 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     112        0.134     0.010603     0.084634     0.056685 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     163       0.1292     0.012314     0.072258     0.036899 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      70     0.097097    0.0060809      0.10506       0.1777 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      49    0.0013396   7.0233e-05      0.13919      0.49616 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      76    -0.077003    -0.005024      0.10948      0.75908 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      67    -0.073859   -0.0045258      0.11281      0.74368 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET      99    -0.086178   -0.0064132       0.0955      0.81657 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     130     0.028188    0.0024016     0.082948        0.367 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24     -0.10789   -0.0039614      0.19039      0.71452 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      44    -0.069586   -0.0034576       0.1286      0.70578 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      50     0.052739    0.0027931      0.13474      0.34775 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      78    -0.054624   -0.0036103      0.10905      0.69178 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     114     0.052968    0.0042281     0.093381      0.28528 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      72   -0.0058623  -0.00037233      0.11122      0.52102 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     183    -0.043983   -0.0044395     0.072809       0.7271 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      80    -0.053222   -0.0035623      0.10967      0.68626 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     118     0.046368    0.0037652     0.090582      0.30437 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      62     0.099719    0.0058787      0.11685      0.19672 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     118      0.17158     0.013932     0.086962     0.024256 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      78     0.012929   0.00085456      0.10897      0.45277 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      65     0.050772    0.0030645      0.12181      0.33842 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      82      0.19083      0.01293      0.11099     0.042781 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      15     -0.36872    -0.010706      0.24857        0.931 Curated_gene_sets:kegg_renin_angiotensin_system
